description,amount,category,date,transaction_type,account_name,month,source
Mobile EMI payment - INR 34930 - Ref 859158,2363.58,Rent,,,,,indian
Mutual fund SIP - INR 32048 - Ref 582822,2266.19,Professional Fees,,,,,indian
Pizza Place,23.34,Miscellaneous,2018-03-17,debit,Platinum Card,2018-03,excel
Gold bond investment - INR 13373 - Ref 906380,785.42,Professional Fees,,,,,indian
Hardware Store,22.14,Office Supplies,2018-12-22,debit,Platinum Card,2018-12,excel
Personal loan EMI - INR 454 - Ref 245415,3276.83,Rent,,,,,indian
Demat account transfer - INR 15734 - Ref 221998,1595.13,Professional Fees,,,,,indian
Grocery food items - INR 44290 - Ref 488152,250.3,Miscellaneous,,,,,indian
Mall shopping payment - INR 8639 - Ref 361163,125.03,Office Supplies,,,,,indian
Ola cab booking - INR 38354 - Ref 695302,731.95,Travel,,,,,indian
Ola cab booking - INR 19853 - Ref 242640,664.37,Travel,,,,,indian
Home loan EMI - INR 44695 - Ref 255372,4149.23,Rent,,,,,indian
ETF purchase - INR 16352 - Ref 781811,3693.72,Professional Fees,,,,,indian
Ajio clothing purchase - INR 35977 - Ref 629354,240.02,Office Supplies,,,,,indian
Zomato food delivery - INR 12881 - Ref 211570,686.51,Miscellaneous,,,,,indian
Hotel dinner bill - INR 31382 - Ref 398023,137.05,Miscellaneous,,,,,indian
eBay online order - INR 17437 - Ref 315050,192.2,Office Supplies,,,,,indian
Mall shopping payment - INR 29556 - Ref 345542,371.55,Office Supplies,,,,,indian
Ola cab booking - INR 29532 - Ref 949053,2263.05,Travel,,,,,indian
Rapido bike ride - INR 20099 - Ref 692755,799.56,Travel,,,,,indian
Laptop EMI payment - INR 7787 - Ref 780537,4650.51,Rent,,,,,indian
MakeMyTrip travel booking - INR 30178 - Ref 121520,858.36,Travel,,,,,indian
Amazon online shopping - INR 11467 - Ref 546493,477.65,Office Supplies,,,,,indian
Bike loan EMI - INR 38090 - Ref 254948,1537.22,Rent,,,,,indian
eBay online order - INR 44522 - Ref 849117,158.88,Office Supplies,,,,,indian
Grocery food items - INR 9468 - Ref 221137,174.59,Miscellaneous,,,,,indian
Uber ride payment - INR 17124 - Ref 576803,1288.51,Travel,,,,,indian
IRCTC train ticket - INR 39105 - Ref 672417,1479.0,Travel,,,,,indian
IRCTC train ticket - INR 7622 - Ref 962680,1656.33,Travel,,,,,indian
Gold bond investment - INR 1153 - Ref 812305,201.38,Professional Fees,,,,,indian
Appliance EMI - INR 41281 - Ref 633899,3630.64,Rent,,,,,indian
Electronics purchase - INR 27420 - Ref 222197,172.54,Office Supplies,,,,,indian
MakeMyTrip travel booking - INR 23839 - Ref 268647,2170.22,Travel,,,,,indian
Zomato food delivery - INR 40771 - Ref 585883,381.84,Miscellaneous,,,,,indian
IRCTC train ticket - INR 8731 - Ref 945814,2656.86,Travel,,,,,indian
Cafe coffee purchase - INR 45716 - Ref 797764,530.17,Miscellaneous,,,,,indian
Restaurant dine-in bill - INR 42980 - Ref 112978,82.94,Miscellaneous,,,,,indian
eBay online order - INR 8688 - Ref 594031,356.87,Office Supplies,,,,,indian
Home loan EMI - INR 19880 - Ref 881871,2794.45,Rent,,,,,indian
Laptop EMI payment - INR 46675 - Ref 767777,4156.91,Rent,,,,,indian
IRCTC train ticket - INR 16632 - Ref 863825,2585.06,Travel,,,,,indian
Demat account transfer - INR 34030 - Ref 622018,3795.64,Professional Fees,,,,,indian
Grocery food items - INR 29990 - Ref 367480,283.17,Miscellaneous,,,,,indian
Credit card EMI - INR 1497 - Ref 797437,2116.5,Rent,,,,,indian
Gold bond investment - INR 34185 - Ref 663089,2168.17,Professional Fees,,,,,indian
NPS contribution - INR 2454 - Ref 888389,2226.75,Professional Fees,,,,,indian
Mutual fund SIP - INR 41603 - Ref 558280,1018.46,Professional Fees,,,,,indian
Hotel dinner bill - INR 2768 - Ref 402031,640.51,Miscellaneous,,,,,indian
Education loan EMI - INR 44692 - Ref 800255,3943.13,Rent,,,,,indian
Mobile EMI payment - INR 4187 - Ref 397230,4009.71,Rent,,,,,indian
Bike loan EMI - INR 35926 - Ref 672941,4957.61,Rent,,,,,indian
Bakery purchase - INR 12723 - Ref 392803,332.12,Miscellaneous,,,,,indian
Myntra fashion order - INR 33508 - Ref 463952,401.42,Office Supplies,,,,,indian
Rapido bike ride - INR 24418 - Ref 465265,1117.61,Travel,,,,,indian
Ola cab booking - INR 18066 - Ref 658578,84.87,Travel,,,,,indian
Rapido bike ride - INR 38877 - Ref 287501,700.69,Travel,,,,,indian
Retail store shopping - INR 14953 - Ref 419253,349.94,Office Supplies,,,,,indian
Swiggy order payment - INR 6433 - Ref 705034,650.61,Miscellaneous,,,,,indian
Grocery food items - INR 40765 - Ref 668185,290.58,Miscellaneous,,,,,indian
PPF contribution - INR 7866 - Ref 238075,3210.69,Professional Fees,,,,,indian
Retirement fund investment - INR 21560 - Ref 581139,3522.61,Professional Fees,,,,,indian
Gold bond investment - INR 38228 - Ref 637203,2554.09,Professional Fees,,,,,indian
Mutual fund SIP - INR 19823 - Ref 726325,3309.4,Professional Fees,,,,,indian
Electronics purchase - INR 41781 - Ref 622040,68.6,Office Supplies,,,,,indian
Airport taxi fare - INR 34624 - Ref 585620,1351.29,Travel,,,,,indian
IRCTC train ticket - INR 33490 - Ref 509896,306.47,Travel,,,,,indian
Restaurant dine-in bill - INR 899 - Ref 355222,854.36,Miscellaneous,,,,,indian
Bus ticket purchase - INR 29951 - Ref 558677,2570.26,Travel,,,,,indian
Car loan EMI - INR 27679 - Ref 376788,2958.57,Rent,,,,,indian
Appliance EMI - INR 36835 - Ref 241686,2480.85,Rent,,,,,indian
Share trading debit - INR 16286 - Ref 534287,1571.5,Professional Fees,,,,,indian
Electronics purchase - INR 2925 - Ref 123776,117.06,Office Supplies,,,,,indian
Grocery food items - INR 42061 - Ref 654922,722.96,Miscellaneous,,,,,indian
Demat account transfer - INR 3860 - Ref 188047,226.62,Professional Fees,,,,,indian
Retail store shopping - INR 38611 - Ref 118759,20.09,Office Supplies,,,,,indian
Starbucks,2.5,Miscellaneous,2019-07-24,debit,Silver Card,2019-07,excel
Mall shopping payment - INR 45068 - Ref 722721,81.15,Office Supplies,,,,,indian
Hotel dinner bill - INR 23231 - Ref 224394,826.89,Miscellaneous,,,,,indian
Lifestyle store purchase - INR 3157 - Ref 384232,261.1,Office Supplies,,,,,indian
Hotel dinner bill - INR 15354 - Ref 255450,925.66,Miscellaneous,,,,,indian
Personal loan EMI - INR 15049 - Ref 276716,2294.41,Rent,,,,,indian
Car loan EMI - INR 33809 - Ref 487359,1695.25,Rent,,,,,indian
Dominos pizza order - INR 43493 - Ref 546574,392.2,Miscellaneous,,,,,indian
PPF contribution - INR 26523 - Ref 691533,3476.25,Professional Fees,,,,,indian
Mobile EMI payment - INR 48612 - Ref 500474,2802.58,Rent,,,,,indian
Swiggy order payment - INR 31706 - Ref 932368,149.16,Miscellaneous,,,,,indian
Zomato food delivery - INR 28840 - Ref 792515,337.94,Miscellaneous,,,,,indian
Flight ticket booking - INR 48360 - Ref 330248,1493.57,Travel,,,,,indian
NPS contribution - INR 38964 - Ref 395310,4723.72,Professional Fees,,,,,indian
Bus ticket purchase - INR 36321 - Ref 562795,308.98,Travel,,,,,indian
McDonald's meal payment - INR 37673 - Ref 664048,108.45,Miscellaneous,,,,,indian
PPF contribution - INR 7098 - Ref 326861,4754.18,Professional Fees,,,,,indian
MakeMyTrip travel booking - INR 46320 - Ref 439200,2385.86,Travel,,,,,indian
McDonald's meal payment - INR 14572 - Ref 728401,449.0,Miscellaneous,,,,,indian
Swiggy order payment - INR 15535 - Ref 551667,825.5,Miscellaneous,,,,,indian
Fixed deposit investment - INR 34297 - Ref 700025,4852.18,Professional Fees,,,,,indian
Retail store shopping - INR 29569 - Ref 848552,40.36,Office Supplies,,,,,indian
Bakery purchase - INR 22171 - Ref 562610,702.26,Miscellaneous,,,,,indian
Bike loan EMI - INR 17048 - Ref 128196,4882.9,Rent,,,,,indian
Flight ticket booking - INR 33042 - Ref 374731,2876.8,Travel,,,,,indian
Airport taxi fare - INR 20097 - Ref 938847,469.61,Travel,,,,,indian
Supermarket shopping - INR 47455 - Ref 558382,391.7,Office Supplies,,,,,indian
Mall shopping payment - INR 12712 - Ref 424101,409.71,Office Supplies,,,,,indian
Bus ticket purchase - INR 31947 - Ref 661957,2747.92,Travel,,,,,indian
McDonald's meal payment - INR 8705 - Ref 990090,571.85,Miscellaneous,,,,,indian
Mall shopping payment - INR 28436 - Ref 327919,48.15,Office Supplies,,,,,indian
Laptop EMI payment - INR 14254 - Ref 683501,3319.94,Rent,,,,,indian
Airport taxi fare - INR 29427 - Ref 720189,2787.74,Travel,,,,,indian
eBay online order - INR 39882 - Ref 240851,262.46,Office Supplies,,,,,indian
KFC online order - INR 25256 - Ref 488103,393.93,Miscellaneous,,,,,indian
Fancy Restaurant,7.0,Miscellaneous,2019-03-05,debit,Silver Card,2019-03,excel
Airport taxi fare - INR 16203 - Ref 949817,2250.51,Travel,,,,,indian
NPS contribution - INR 21111 - Ref 945708,607.79,Professional Fees,,,,,indian
PPF contribution - INR 8631 - Ref 488210,335.3,Professional Fees,,,,,indian
Credit card EMI - INR 15024 - Ref 778542,3923.73,Rent,,,,,indian
PPF contribution - INR 4673 - Ref 211291,920.43,Professional Fees,,,,,indian
Credit Card Payment,186.13,Professional Fees,2019-09-17,credit,Platinum Card,2019-09,excel
Metro card recharge - INR 40918 - Ref 704771,268.89,Travel,,,,,indian
Fixed deposit investment - INR 45748 - Ref 851644,1636.61,Professional Fees,,,,,indian
Share trading debit - INR 5885 - Ref 967940,4317.12,Professional Fees,,,,,indian
Appliance EMI - INR 30681 - Ref 907552,4857.73,Rent,,,,,indian
Hawaiian Grill,24.97,Miscellaneous,2019-07-01,debit,Silver Card,2019-07,excel
Airport taxi fare - INR 45624 - Ref 224974,469.16,Travel,,,,,indian
Flight ticket booking - INR 16288 - Ref 333845,1797.07,Travel,,,,,indian
Share trading debit - INR 21696 - Ref 472841,2183.85,Professional Fees,,,,,indian
Cafe coffee purchase - INR 9986 - Ref 600433,466.47,Miscellaneous,,,,,indian
KFC online order - INR 28997 - Ref 340454,328.29,Miscellaneous,,,,,indian
Credit card EMI - INR 1965 - Ref 680710,4208.94,Rent,,,,,indian
Stock market investment - INR 45084 - Ref 495048,765.74,Professional Fees,,,,,indian
Restaurant dine-in bill - INR 6141 - Ref 486350,395.2,Miscellaneous,,,,,indian
Home loan EMI - INR 48215 - Ref 454472,2118.88,Rent,,,,,indian
Metro card recharge - INR 16974 - Ref 543400,2758.19,Travel,,,,,indian
Swiggy order payment - INR 47380 - Ref 954389,448.72,Miscellaneous,,,,,indian
Hotel dinner bill - INR 28432 - Ref 445804,100.86,Miscellaneous,,,,,indian
Shell,7.48,Travel,2018-12-26,debit,Platinum Card,2018-12,excel
PPF contribution - INR 39555 - Ref 657605,2889.68,Professional Fees,,,,,indian
Consumer durable EMI - INR 23689 - Ref 556453,1798.67,Rent,,,,,indian
ETF purchase - INR 3729 - Ref 972993,4257.06,Professional Fees,,,,,indian
Gold bond investment - INR 44939 - Ref 336527,273.6,Professional Fees,,,,,indian
Stock market investment - INR 22790 - Ref 960014,1557.58,Professional Fees,,,,,indian
eBay online order - INR 22103 - Ref 107634,467.85,Office Supplies,,,,,indian
Lifestyle store purchase - INR 16969 - Ref 296464,385.37,Office Supplies,,,,,indian
MakeMyTrip travel booking - INR 19156 - Ref 820383,903.69,Travel,,,,,indian
Cafe coffee purchase - INR 24941 - Ref 350511,481.13,Miscellaneous,,,,,indian
Credit card EMI - INR 13634 - Ref 800295,4211.27,Rent,,,,,indian
Restaurant dine-in bill - INR 15957 - Ref 368889,914.6,Miscellaneous,,,,,indian
Home loan EMI - INR 19148 - Ref 832299,4254.04,Rent,,,,,indian
Education loan EMI - INR 31124 - Ref 648181,4355.26,Rent,,,,,indian
Supermarket shopping - INR 47577 - Ref 401292,247.17,Office Supplies,,,,,indian
Bakery purchase - INR 37042 - Ref 342934,157.14,Miscellaneous,,,,,indian
Metro card recharge - INR 26419 - Ref 734248,2539.12,Travel,,,,,indian
McDonald's meal payment - INR 38510 - Ref 785298,156.19,Miscellaneous,,,,,indian
Fixed deposit investment - INR 1415 - Ref 602108,4633.46,Professional Fees,,,,,indian
Hotel stay booking - INR 23309 - Ref 723795,415.42,Travel,,,,,indian
Credit card EMI - INR 10950 - Ref 703663,2354.24,Rent,,,,,indian
Zomato food delivery - INR 16562 - Ref 113162,800.68,Miscellaneous,,,,,indian
Metro card recharge - INR 36066 - Ref 208743,1318.25,Travel,,,,,indian
Credit Card Payment,765.68,Professional Fees,2019-05-24,credit,Silver Card,2019-05,excel
Grocery Store,31.0,Office Supplies,2018-05-19,debit,Silver Card,2018-05,excel
Uber ride payment - INR 30761 - Ref 369770,2523.09,Travel,,,,,indian
Appliance EMI - INR 41490 - Ref 903863,4305.55,Rent,,,,,indian
Hotel stay booking - INR 30097 - Ref 130988,1316.25,Travel,,,,,indian
Fixed deposit investment - INR 22741 - Ref 920637,1317.4,Professional Fees,,,,,indian
Share trading debit - INR 41099 - Ref 709588,1640.16,Professional Fees,,,,,indian
Mall shopping payment - INR 11375 - Ref 492990,239.33,Office Supplies,,,,,indian
Appliance EMI - INR 29275 - Ref 186654,3289.03,Rent,,,,,indian
Consumer durable EMI - INR 17295 - Ref 168932,2192.81,Rent,,,,,indian
McDonald's meal payment - INR 46319 - Ref 393289,560.65,Miscellaneous,,,,,indian
Swiggy order payment - INR 23019 - Ref 190501,122.82,Miscellaneous,,,,,indian
Retail store shopping - INR 48461 - Ref 528471,496.44,Office Supplies,,,,,indian
Flipkart purchase - INR 46881 - Ref 763706,473.69,Office Supplies,,,,,indian
Gold bond investment - INR 2145 - Ref 702632,592.98,Professional Fees,,,,,indian
Swiggy order payment - INR 6604 - Ref 630226,85.89,Miscellaneous,,,,,indian
Ola cab booking - INR 2381 - Ref 122085,1935.37,Travel,,,,,indian
Hotel dinner bill - INR 2575 - Ref 327215,393.27,Miscellaneous,,,,,indian
Uber ride payment - INR 10471 - Ref 425625,194.64,Travel,,,,,indian
eBay online order - INR 2446 - Ref 398032,466.81,Office Supplies,,,,,indian
Grocery food items - INR 6054 - Ref 257954,899.23,Miscellaneous,,,,,indian
Consumer durable EMI - INR 18199 - Ref 836633,2656.16,Rent,,,,,indian
Credit card EMI - INR 1937 - Ref 817624,2681.79,Rent,,,,,indian
Airport taxi fare - INR 19229 - Ref 255150,1865.36,Travel,,,,,indian
Education loan EMI - INR 10957 - Ref 490109,1798.74,Rent,,,,,indian
Credit card EMI - INR 4555 - Ref 823760,4045.89,Rent,,,,,indian
Ola cab booking - INR 36010 - Ref 174754,1571.65,Travel,,,,,indian
Laptop EMI payment - INR 31073 - Ref 480795,3491.02,Rent,,,,,indian
Myntra fashion order - INR 11309 - Ref 127238,177.34,Office Supplies,,,,,indian
eBay online order - INR 9285 - Ref 630853,325.08,Office Supplies,,,,,indian
Laptop EMI payment - INR 47472 - Ref 881939,2828.18,Rent,,,,,indian
Bike loan EMI - INR 9833 - Ref 881145,1364.85,Rent,,,,,indian
Metro card recharge - INR 44201 - Ref 380976,2392.93,Travel,,,,,indian
Laptop EMI payment - INR 38200 - Ref 167670,4953.33,Rent,,,,,indian
Grocery Store,21.38,Office Supplies,2018-12-06,debit,Platinum Card,2018-12,excel
BP,39.08,Travel,2019-04-30,debit,Platinum Card,2019-04,excel
Airport taxi fare - INR 11837 - Ref 350255,105.29,Travel,,,,,indian
Amazon,49.99,Office Supplies,2018-12-18,debit,Platinum Card,2018-12,excel
Hotel dinner bill - INR 1039 - Ref 713196,209.11,Miscellaneous,,,,,indian
eBay online order - INR 39354 - Ref 491445,285.48,Office Supplies,,,,,indian
Zomato food delivery - INR 20798 - Ref 122715,561.0,Miscellaneous,,,,,indian
MakeMyTrip travel booking - INR 28439 - Ref 693520,740.72,Travel,,,,,indian
Swiggy order payment - INR 27335 - Ref 320334,661.69,Miscellaneous,,,,,indian
KFC online order - INR 38663 - Ref 301488,619.74,Miscellaneous,,,,,indian
Hotel stay booking - INR 22142 - Ref 716282,856.7,Travel,,,,,indian
Ola cab booking - INR 6457 - Ref 147247,2436.68,Travel,,,,,indian
Ola cab booking - INR 34283 - Ref 664101,2595.64,Travel,,,,,indian
Hotel stay booking - INR 47938 - Ref 305224,2048.0,Travel,,,,,indian
Swiggy order payment - INR 36855 - Ref 614352,259.93,Miscellaneous,,,,,indian
Ajio clothing purchase - INR 47989 - Ref 136882,258.59,Office Supplies,,,,,indian
Ajio clothing purchase - INR 12336 - Ref 207548,252.08,Office Supplies,,,,,indian
McDonald's meal payment - INR 34446 - Ref 850502,106.68,Miscellaneous,,,,,indian
McDonald's meal payment - INR 26640 - Ref 109110,714.42,Miscellaneous,,,,,indian
Ajio clothing purchase - INR 16284 - Ref 918296,101.45,Office Supplies,,,,,indian
Bus ticket purchase - INR 27110 - Ref 447864,1517.25,Travel,,,,,indian
Airport taxi fare - INR 6339 - Ref 916416,580.75,Travel,,,,,indian
Airport taxi fare - INR 15828 - Ref 373521,789.15,Travel,,,,,indian
Stock market investment - INR 473 - Ref 934393,4191.99,Professional Fees,,,,,indian
Grocery Store,44.19,Office Supplies,2018-01-15,debit,Silver Card,2018-01,excel
Hotel dinner bill - INR 11706 - Ref 254450,52.84,Miscellaneous,,,,,indian
Electronics purchase - INR 26850 - Ref 888158,47.31,Office Supplies,,,,,indian
Education loan EMI - INR 11181 - Ref 107818,4121.24,Rent,,,,,indian
Swiggy order payment - INR 8048 - Ref 882702,733.28,Miscellaneous,,,,,indian
Ola cab booking - INR 14670 - Ref 635619,2382.63,Travel,,,,,indian
Ola cab booking - INR 47252 - Ref 259522,1217.51,Travel,,,,,indian
Car loan EMI - INR 35749 - Ref 649074,2101.3,Rent,,,,,indian
Mutual fund SIP - INR 16880 - Ref 767239,2948.97,Professional Fees,,,,,indian
Mobile EMI payment - INR 15212 - Ref 461505,4941.45,Rent,,,,,indian
Brewing Company,19.0,Miscellaneous,2019-07-05,debit,Silver Card,2019-07,excel
Education loan EMI - INR 930 - Ref 613100,3144.86,Rent,,,,,indian
Swiggy order payment - INR 39549 - Ref 513105,426.15,Miscellaneous,,,,,indian
Share trading debit - INR 46488 - Ref 289693,858.73,Professional Fees,,,,,indian
NPS contribution - INR 42114 - Ref 310551,4791.81,Professional Fees,,,,,indian
Amazon online shopping - INR 9344 - Ref 548761,196.21,Office Supplies,,,,,indian
Airport taxi fare - INR 28829 - Ref 903826,1128.49,Travel,,,,,indian
Swiggy order payment - INR 4377 - Ref 685287,308.37,Miscellaneous,,,,,indian
Consumer durable EMI - INR 41537 - Ref 148223,2087.82,Rent,,,,,indian
Hotel dinner bill - INR 4064 - Ref 847978,771.62,Miscellaneous,,,,,indian
Education loan EMI - INR 1935 - Ref 163615,2478.11,Rent,,,,,indian
Fixed deposit investment - INR 41039 - Ref 383289,4853.8,Professional Fees,,,,,indian
Bike loan EMI - INR 25657 - Ref 137343,3680.26,Rent,,,,,indian
Lifestyle store purchase - INR 36637 - Ref 968906,80.93,Office Supplies,,,,,indian
Zomato food delivery - INR 18785 - Ref 817435,477.54,Miscellaneous,,,,,indian
IRCTC train ticket - INR 12779 - Ref 771625,659.93,Travel,,,,,indian
Demat account transfer - INR 45900 - Ref 906342,4425.54,Professional Fees,,,,,indian
Bike loan EMI - INR 23873 - Ref 643462,3360.15,Rent,,,,,indian
Education loan EMI - INR 33189 - Ref 545283,4517.08,Rent,,,,,indian
Supermarket shopping - INR 18583 - Ref 585378,406.25,Office Supplies,,,,,indian
Appliance EMI - INR 13630 - Ref 779265,2899.49,Rent,,,,,indian
Appliance EMI - INR 18295 - Ref 957532,3720.91,Rent,,,,,indian
Hotel dinner bill - INR 16838 - Ref 225876,602.16,Miscellaneous,,,,,indian
Mutual fund SIP - INR 14766 - Ref 971851,1751.71,Professional Fees,,,,,indian
Dominos pizza order - INR 26858 - Ref 831412,671.31,Miscellaneous,,,,,indian
Mutual fund SIP - INR 11959 - Ref 586726,1731.92,Professional Fees,,,,,indian
Consumer durable EMI - INR 19632 - Ref 667227,1037.59,Rent,,,,,indian
Hotel stay booking - INR 22033 - Ref 852773,971.87,Travel,,,,,indian
Laptop EMI payment - INR 48337 - Ref 518971,1150.99,Rent,,,,,indian
Laptop EMI payment - INR 9935 - Ref 461553,3642.12,Rent,,,,,indian
NPS contribution - INR 27048 - Ref 166232,720.06,Professional Fees,,,,,indian
Cafe coffee purchase - INR 27591 - Ref 398114,504.23,Miscellaneous,,,,,indian
Hotel dinner bill - INR 24858 - Ref 250727,238.24,Miscellaneous,,,,,indian
Retirement fund investment - INR 22548 - Ref 475947,2413.52,Professional Fees,,,,,indian
Credit card EMI - INR 31394 - Ref 852976,1810.85,Rent,,,,,indian
Cafe coffee purchase - INR 6786 - Ref 346042,840.72,Miscellaneous,,,,,indian
Dominos pizza order - INR 1786 - Ref 888598,268.7,Miscellaneous,,,,,indian
Mutual fund SIP - INR 11415 - Ref 268211,4081.72,Professional Fees,,,,,indian
Personal loan EMI - INR 2898 - Ref 674153,1616.6,Rent,,,,,indian
BP,33.46,Travel,2019-09-28,debit,Platinum Card,2019-09,excel
Credit card EMI - INR 11866 - Ref 611973,4911.37,Rent,,,,,indian
Electronics purchase - INR 3867 - Ref 372025,365.51,Office Supplies,,,,,indian
Flipkart purchase - INR 48326 - Ref 543269,160.6,Office Supplies,,,,,indian
Amazon online shopping - INR 45481 - Ref 165668,201.97,Office Supplies,,,,,indian
Mutual fund SIP - INR 20252 - Ref 989099,4558.1,Professional Fees,,,,,indian
Grocery Store,6.27,Office Supplies,2018-08-03,debit,Silver Card,2018-08,excel
Retirement fund investment - INR 7556 - Ref 223982,4742.06,Professional Fees,,,,,indian
Cafe coffee purchase - INR 14951 - Ref 728268,427.32,Miscellaneous,,,,,indian
Ajio clothing purchase - INR 12194 - Ref 814250,296.85,Office Supplies,,,,,indian
MakeMyTrip travel booking - INR 38160 - Ref 213282,2053.23,Travel,,,,,indian
Demat account transfer - INR 21151 - Ref 613090,4518.5,Professional Fees,,,,,indian
Lifestyle store purchase - INR 35638 - Ref 188976,24.6,Office Supplies,,,,,indian
Car loan EMI - INR 27277 - Ref 984160,3466.08,Rent,,,,,indian
Education loan EMI - INR 29714 - Ref 126709,4300.95,Rent,,,,,indian
Bike loan EMI - INR 36353 - Ref 104341,4223.1,Rent,,,,,indian
ETF purchase - INR 22567 - Ref 105161,4551.78,Professional Fees,,,,,indian
Gold bond investment - INR 7360 - Ref 468001,1189.19,Professional Fees,,,,,indian
Fixed deposit investment - INR 13067 - Ref 965185,256.88,Professional Fees,,,,,indian
Lifestyle store purchase - INR 18150 - Ref 498260,151.51,Office Supplies,,,,,indian
Uber ride payment - INR 2678 - Ref 255704,708.75,Travel,,,,,indian
Dominos pizza order - INR 46866 - Ref 336075,285.5,Miscellaneous,,,,,indian
Personal loan EMI - INR 32410 - Ref 959604,2204.6,Rent,,,,,indian
Hotel stay booking - INR 16683 - Ref 572553,1498.47,Travel,,,,,indian
Restaurant dine-in bill - INR 46468 - Ref 572157,717.37,Miscellaneous,,,,,indian
Personal loan EMI - INR 34191 - Ref 524921,3471.34,Rent,,,,,indian
Hotel stay booking - INR 1078 - Ref 797684,489.41,Travel,,,,,indian
MakeMyTrip travel booking - INR 2538 - Ref 525965,54.31,Travel,,,,,indian
Ajio clothing purchase - INR 11820 - Ref 691739,464.41,Office Supplies,,,,,indian
Flight ticket booking - INR 45202 - Ref 283947,1931.94,Travel,,,,,indian
Ola cab booking - INR 20442 - Ref 491248,1173.07,Travel,,,,,indian
Credit card EMI - INR 33660 - Ref 940953,2114.18,Rent,,,,,indian
Credit card EMI - INR 46177 - Ref 122386,3474.39,Rent,,,,,indian
Retail store shopping - INR 2127 - Ref 735950,218.95,Office Supplies,,,,,indian
PPF contribution - INR 18575 - Ref 356598,4630.33,Professional Fees,,,,,indian
Ola cab booking - INR 22476 - Ref 540340,2872.27,Travel,,,,,indian
Electronics purchase - INR 42516 - Ref 214057,100.12,Office Supplies,,,,,indian
Flight ticket booking - INR 7424 - Ref 306092,1855.56,Travel,,,,,indian
ETF purchase - INR 44226 - Ref 241163,3640.91,Professional Fees,,,,,indian
Restaurant dine-in bill - INR 39602 - Ref 248892,741.05,Miscellaneous,,,,,indian
Demat account transfer - INR 49080 - Ref 853962,444.11,Professional Fees,,,,,indian
eBay online order - INR 31030 - Ref 208552,274.31,Office Supplies,,,,,indian
Fixed deposit investment - INR 34800 - Ref 924369,924.6,Professional Fees,,,,,indian
McDonald's meal payment - INR 44048 - Ref 174127,926.43,Miscellaneous,,,,,indian
Supermarket shopping - INR 41396 - Ref 380547,235.71,Office Supplies,,,,,indian
eBay online order - INR 49604 - Ref 753219,221.4,Office Supplies,,,,,indian
Restaurant dine-in bill - INR 16848 - Ref 856466,347.12,Miscellaneous,,,,,indian
KFC online order - INR 48400 - Ref 464258,708.64,Miscellaneous,,,,,indian
Electronics purchase - INR 47094 - Ref 370219,345.67,Office Supplies,,,,,indian
NPS contribution - INR 41261 - Ref 176511,2568.13,Professional Fees,,,,,indian
IRCTC train ticket - INR 2996 - Ref 477783,1160.17,Travel,,,,,indian
Flight ticket booking - INR 47165 - Ref 445992,1297.87,Travel,,,,,indian
Supermarket shopping - INR 49689 - Ref 131691,445.48,Office Supplies,,,,,indian
Laptop EMI payment - INR 26682 - Ref 248854,4550.22,Rent,,,,,indian
PPF contribution - INR 19139 - Ref 218250,2342.04,Professional Fees,,,,,indian
Laptop EMI payment - INR 46396 - Ref 301941,2431.85,Rent,,,,,indian
Fixed deposit investment - INR 35593 - Ref 618275,3201.96,Professional Fees,,,,,indian
Dominos pizza order - INR 15606 - Ref 136874,676.73,Miscellaneous,,,,,indian
NPS contribution - INR 37717 - Ref 508073,4128.43,Professional Fees,,,,,indian
Amazon online shopping - INR 26662 - Ref 873852,365.33,Office Supplies,,,,,indian
Laptop EMI payment - INR 28219 - Ref 584821,4247.08,Rent,,,,,indian
Appliance EMI - INR 26225 - Ref 258908,1275.71,Rent,,,,,indian
Airport taxi fare - INR 27967 - Ref 220972,859.22,Travel,,,,,indian
Flight ticket booking - INR 31013 - Ref 670271,2941.72,Travel,,,,,indian
Mutual fund SIP - INR 29569 - Ref 798941,4440.43,Professional Fees,,,,,indian
Lifestyle store purchase - INR 47013 - Ref 872097,79.63,Office Supplies,,,,,indian
Myntra fashion order - INR 40969 - Ref 802554,107.01,Office Supplies,,,,,indian
Amazon online shopping - INR 41326 - Ref 373150,432.78,Office Supplies,,,,,indian
Retirement fund investment - INR 24342 - Ref 570626,4737.75,Professional Fees,,,,,indian
Mobile EMI payment - INR 10184 - Ref 129240,4874.3,Rent,,,,,indian
Zomato food delivery - INR 21970 - Ref 873986,388.13,Miscellaneous,,,,,indian
Cafe coffee purchase - INR 22595 - Ref 197363,684.52,Miscellaneous,,,,,indian
Internet Service Provider,69.99,Utilities,2018-01-25,debit,Checking,2018-01,excel
Retail store shopping - INR 13024 - Ref 570712,179.3,Office Supplies,,,,,indian
Flipkart purchase - INR 31479 - Ref 864963,369.0,Office Supplies,,,,,indian
Uber ride payment - INR 36016 - Ref 600781,2527.68,Travel,,,,,indian
Dominos pizza order - INR 23897 - Ref 217171,534.15,Miscellaneous,,,,,indian
Metro card recharge - INR 27408 - Ref 779041,2952.51,Travel,,,,,indian
Consumer durable EMI - INR 1237 - Ref 579107,3615.33,Rent,,,,,indian
Laptop EMI payment - INR 24265 - Ref 126991,4367.63,Rent,,,,,indian
Personal loan EMI - INR 3125 - Ref 247757,2060.03,Rent,,,,,indian
Lifestyle store purchase - INR 15604 - Ref 918122,249.59,Office Supplies,,,,,indian
